wall_time_iso,elapsed_s,checkpoint_index,target_k,actual_temp_k,temp_error_k,setpoint_readback_k,voltage_mean_v,voltage_std_v,voltage_samples,in_range,hold_elapsed_s,phase
2026-06-17T14:15:42,2.187,1,295.00000,296.26080,1.26080,295.00000,-0.03956063,0,-0.03956063,0,0.000,waiting
2026-06-17T14:15:45,4.718,1,295.00000,296.26170,1.26170,295.00000,-0.0395611,0,-0.0395611,0,0.000,waiting
2026-06-17T14:15:48,7.250,1,295.00000,296.26080,1.26080,295.00000,-0.03956162,0,-0.03956162,0,0.000,waiting
2026-06-17T14:15:50,9.781,1,295.00000,296.26080,1.26080,295.00000,-0.03956191,0,-0.03956191,0,0.000,waiting
2026-06-17T14:15:53,12.312,1,295.00000,296.26170,1.26170,295.00000,-0.03956186,0,-0.03956186,0,0.000,waiting
2026-06-17T14:15:55,14.843,1,295.00000,296.26130,1.26130,295.00000,-0.03956196,0,-0.03956196,0,0.000,waiting
2026-06-17T14:15:58,17.375,1,295.00000,296.26130,1.26130,295.00000,-0.0395623,0,-0.0395623,0,0.000,waiting
2026-06-17T14:16:00,19.890,1,295.00000,296.26130,1.26130,295.00000,-0.03956176,0,-0.03956176,0,0.000,waiting
2026-06-17T14:16:03,22.421,1,295.00000,296.26210,1.26210,295.00000,-0.03956245,0,-0.03956245,0,0.000,waiting
2026-06-17T14:16:05,24.953,1,295.00000,296.26300,1.26300,295.00000,-0.03956292,0,-0.03956292,0,0.000,waiting
2026-06-17T14:16:08,27.484,1,295.00000,296.26350,1.26350,295.00000,-0.03956276,0,-0.03956276,0,0.000,waiting
2026-06-17T14:16:10,30.015,1,295.00000,296.26260,1.26260,295.00000,-0.039563,0,-0.039563,0,0.000,waiting
2026-06-17T14:16:13,32.531,1,295.00000,296.26300,1.26300,295.00000,-0.039563,0,-0.039563,0,0.000,waiting
2026-06-17T14:16:15,35.062,1,295.00000,296.26350,1.26350,295.00000,-0.03956346,0,-0.03956346,0,0.000,waiting
2026-06-17T14:16:18,37.593,1,295.00000,296.26390,1.26390,295.00000,-0.03956337,0,-0.03956337,0,0.000,waiting
2026-06-17T14:16:20,40.125,1,295.00000,296.26480,1.26480,295.00000,-0.03956353,0,-0.03956353,0,0.000,waiting
2026-06-17T14:16:23,42.656,1,295.00000,296.26520,1.26520,295.00000,-0.03956411,0,-0.03956411,0,0.000,waiting
2026-06-17T14:16:25,45.171,1,295.00000,296.26570,1.26570,295.00000,-0.03956418,0,-0.03956418,0,0.000,waiting
2026-06-17T14:16:28,47.703,1,295.00000,296.26520,1.26520,295.00000,-0.03956451,0,-0.03956451,0,0.000,waiting
2026-06-17T14:16:31,50.234,1,295.00000,296.26610,1.26610,295.00000,-0.03956454,0,-0.03956454,0,0.000,waiting
2026-06-17T14:16:33,52.765,1,295.00000,296.26700,1.26700,295.00000,-0.03956498,0,-0.03956498,0,0.000,waiting
2026-06-17T14:16:36,55.296,1,295.00000,296.26660,1.26660,295.00000,-0.03956534,0,-0.03956534,0,0.000,waiting
2026-06-17T14:16:38,57.828,1,295.00000,296.26660,1.26660,295.00000,-0.03956472,0,-0.03956472,0,0.000,waiting
2026-06-17T14:16:41,60.343,1,295.00000,296.26610,1.26610,295.00000,-0.03956488,0,-0.03956488,0,0.000,waiting
2026-06-17T14:16:43,62.875,1,295.00000,296.26740,1.26740,295.00000,-0.03956528,0,-0.03956528,0,0.000,waiting
2026-06-17T14:16:46,65.468,1,295.00000,296.26790,1.26790,295.00000,-0.03956484,0,-0.03956484,0,0.000,waiting
2026-06-17T14:16:48,68.000,1,295.00000,296.26740,1.26740,295.00000,-0.03956519,0,-0.03956519,0,0.000,waiting
2026-06-17T14:16:51,70.578,1,295.00000,296.26830,1.26830,295.00000,-0.0395655,0,-0.0395655,0,0.000,waiting
2026-06-17T14:16:53,73.109,1,295.00000,296.26830,1.26830,295.00000,-0.03956529,0,-0.03956529,0,0.000,waiting
2026-06-17T14:16:56,75.625,1,295.00000,296.27050,1.27050,295.00000,-0.03956544,0,-0.03956544,0,0.000,waiting
2026-06-17T14:16:58,78.156,1,295.00000,296.27010,1.27010,295.00000,-0.03956572,0,-0.03956572,0,0.000,waiting
2026-06-17T14:17:01,80.687,1,295.00000,296.26960,1.26960,295.00000,-0.03956598,0,-0.03956598,0,0.000,waiting
2026-06-17T14:17:03,83.218,1,295.00000,296.26960,1.26960,295.00000,-0.03956647,0,-0.03956647,0,0.000,waiting
2026-06-17T14:17:06,85.750,1,295.00000,296.27010,1.27010,295.00000,-0.03956628,0,-0.03956628,0,0.000,waiting
2026-06-17T14:17:09,88.281,1,295.00000,296.27100,1.27100,295.00000,-0.03956649,0,-0.03956649,0,0.000,waiting
2026-06-17T14:17:11,90.796,1,295.00000,296.27100,1.27100,295.00000,-0.03956632,0,-0.03956632,0,0.000,waiting
2026-06-17T14:17:14,93.328,1,295.00000,296.27230,1.27230,295.00000,-0.03956654,0,-0.03956654,0,0.000,waiting
2026-06-17T14:17:16,95.859,1,295.00000,296.27230,1.27230,295.00000,-0.03956684,0,-0.03956684,0,0.000,waiting
2026-06-17T14:17:19,98.390,1,295.00000,296.27320,1.27320,295.00000,-0.03956711,0,-0.03956711,0,0.000,waiting
2026-06-17T14:17:21,100.921,1,295.00000,296.27320,1.27320,295.00000,-0.03956729,0,-0.03956729,0,0.000,waiting
2026-06-17T14:17:24,103.500,1,295.00000,296.27270,1.27270,295.00000,-0.03956725,0,-0.03956725,0,0.000,waiting
2026-06-17T14:17:26,106.109,1,295.00000,296.27410,1.27410,295.00000,-0.03956735,0,-0.03956735,0,0.000,waiting
2026-06-17T14:17:29,108.640,1,295.00000,296.27490,1.27490,295.00000,-0.03956768,0,-0.03956768,0,0.000,waiting
2026-06-17T14:17:31,111.171,1,295.00000,296.27540,1.27540,295.00000,-0.0395681,0,-0.0395681,0,0.000,waiting
2026-06-17T14:17:34,113.703,1,295.00000,296.27450,1.27450,295.00000,-0.03956812,0,-0.03956812,0,0.000,waiting
2026-06-17T14:17:37,116.218,1,295.00000,296.27490,1.27490,295.00000,-0.03956818,0,-0.03956818,0,0.000,waiting
2026-06-17T14:17:39,118.750,1,295.00000,296.27540,1.27540,295.00000,-0.03956822,0,-0.03956822,0,0.000,waiting
2026-06-17T14:17:42,121.281,1,295.00000,296.27580,1.27580,295.00000,-0.03956846,0,-0.03956846,0,0.000,waiting
2026-06-17T14:17:44,123.812,1,295.00000,296.27710,1.27710,295.00000,-0.03956868,0,-0.03956868,0,0.000,waiting
2026-06-17T14:17:47,126.343,1,295.00000,296.27630,1.27630,295.00000,-0.03956862,0,-0.03956862,0,0.000,waiting
2026-06-17T14:17:49,128.875,1,295.00000,296.27710,1.27710,295.00000,-0.03956879,0,-0.03956879,0,0.000,waiting
2026-06-17T14:17:52,131.406,1,295.00000,296.27710,1.27710,295.00000,-0.03956879,0,-0.03956879,0,0.000,waiting
2026-06-17T14:17:54,133.921,1,295.00000,296.27800,1.27800,295.00000,-0.03956884,0,-0.03956884,0,0.000,waiting
2026-06-17T14:17:57,136.453,1,295.00000,296.27760,1.27760,295.00000,-0.03956926,0,-0.03956926,0,0.000,waiting
2026-06-17T14:17:59,138.984,1,295.00000,296.27890,1.27890,295.00000,-0.03956901,0,-0.03956901,0,0.000,waiting
2026-06-17T14:18:02,141.515,1,295.00000,296.27890,1.27890,295.00000,-0.03956962,0,-0.03956962,0,0.000,waiting
2026-06-17T14:18:04,144.046,1,295.00000,296.27980,1.27980,295.00000,-0.03956918,0,-0.03956918,0,0.000,waiting
2026-06-17T14:18:07,146.578,1,295.00000,296.28020,1.28020,295.00000,-0.03956939,0,-0.03956939,0,0.000,waiting
2026-06-17T14:18:09,149.093,1,295.00000,296.27980,1.27980,295.00000,-0.03956928,0,-0.03956928,0,0.000,waiting
2026-06-17T14:18:12,151.625,1,295.00000,296.28070,1.28070,295.00000,-0.03956976,0,-0.03956976,0,0.000,waiting
2026-06-17T14:18:14,154.156,1,295.00000,296.28110,1.28110,295.00000,-0.03957008,0,-0.03957008,0,0.000,waiting
2026-06-17T14:18:21,156.687,1,295.00000,296.28070,1.28070,295.00000,-0.03957007,0,-0.03957007,0,0.000,waiting
2026-06-17T14:18:23,162.968,1,295.00000,296.28330,1.28330,295.00000,-0.03956978,0,-0.03956978,0,0.000,waiting
2026-06-17T14:18:26,165.500,1,295.00000,296.28240,1.28240,295.00000,-0.0395704,0,-0.0395704,0,0.000,waiting
2026-06-17T14:18:28,168.031,1,295.00000,296.28290,1.28290,295.00000,-0.03957012,0,-0.03957012,0,0.000,waiting
2026-06-17T14:18:31,170.562,1,295.00000,296.28330,1.28330,295.00000,-0.0395702,0,-0.0395702,0,0.000,waiting
2026-06-17T14:18:33,173.093,1,295.00000,296.28460,1.28460,295.00000,-0.03957099,0,-0.03957099,0,0.000,waiting
2026-06-17T14:18:36,175.625,1,295.00000,296.28510,1.28510,295.00000,-0.03957052,0,-0.03957052,0,0.000,waiting
2026-06-17T14:18:38,178.156,1,295.00000,296.28510,1.28510,295.00000,-0.03957056,0,-0.03957056,0,0.000,waiting
2026-06-17T14:18:41,180.687,1,295.00000,296.28600,1.28600,295.00000,-0.03957074,0,-0.03957074,0,0.000,waiting
2026-06-17T14:18:43,183.218,1,295.00000,296.28640,1.28640,295.00000,-0.03957056,0,-0.03957056,0,0.000,waiting
2026-06-17T14:18:46,185.750,1,295.00000,296.28510,1.28510,295.00000,-0.03957098,0,-0.03957098,0,0.000,waiting
2026-06-17T14:18:49,188.375,1,295.00000,296.28680,1.28680,295.00000,-0.0395716,0,-0.0395716,0,0.000,waiting
2026-06-17T14:18:51,190.906,1,295.00000,296.28680,1.28680,295.00000,-0.03957179,0,-0.03957179,0,0.000,waiting
2026-06-17T14:18:54,193.421,1,295.00000,296.28680,1.28680,295.00000,-0.03957173,0,-0.03957173,0,0.000,waiting
2026-06-17T14:18:56,195.984,1,295.00000,296.28680,1.28680,295.00000,-0.03957198,0,-0.03957198,0,0.000,waiting
2026-06-17T14:18:59,198.515,1,295.00000,296.28730,1.28730,295.00000,-0.03957151,0,-0.03957151,0,0.000,waiting
2026-06-17T14:19:01,201.046,1,295.00000,296.28820,1.28820,295.00000,-0.03957188,0,-0.03957188,0,0.000,waiting
2026-06-17T14:19:04,203.578,1,295.00000,296.28950,1.28950,295.00000,-0.0395721,0,-0.0395721,0,0.000,waiting
2026-06-17T14:19:06,206.109,1,295.00000,296.28990,1.28990,295.00000,-0.03957194,0,-0.03957194,0,0.000,waiting
2026-06-17T14:19:09,208.640,1,295.00000,296.28950,1.28950,295.00000,-0.03957195,0,-0.03957195,0,0.000,waiting
2026-06-17T14:19:11,211.171,1,295.00000,296.28990,1.28990,295.00000,-0.03957216,0,-0.03957216,0,0.000,waiting
2026-06-17T14:19:14,213.703,1,295.00000,296.29080,1.29080,295.00000,-0.03957209,0,-0.03957209,0,0.000,waiting
2026-06-17T14:19:17,216.234,1,295.00000,296.29080,1.29080,295.00000,-0.03957222,0,-0.03957222,0,0.000,waiting
2026-06-17T14:19:19,218.750,1,295.00000,296.29170,1.29170,295.00000,-0.0395719,0,-0.0395719,0,0.000,waiting
2026-06-17T14:19:22,221.281,1,295.00000,296.29300,1.29300,295.00000,-0.03957186,0,-0.03957186,0,0.000,waiting
2026-06-17T14:19:24,223.812,1,295.00000,296.29170,1.29170,295.00000,-0.03957232,0,-0.03957232,0,0.000,waiting
2026-06-17T14:19:27,226.343,1,295.00000,296.29210,1.29210,295.00000,-0.03957238,0,-0.03957238,0,0.000,waiting
2026-06-17T14:19:29,228.875,1,295.00000,296.29210,1.29210,295.00000,-0.03957252,0,-0.03957252,0,0.000,waiting
2026-06-17T14:19:32,231.406,1,295.00000,296.29350,1.29350,295.00000,-0.03957285,0,-0.03957285,0,0.000,waiting
2026-06-17T14:19:34,233.937,1,295.00000,296.29390,1.29390,295.00000,-0.0395724,0,-0.0395724,0,0.000,waiting
2026-06-17T14:19:37,236.468,1,295.00000,296.29390,1.29390,295.00000,-0.03957177,0,-0.03957177,0,0.000,waiting
2026-06-17T14:19:39,238.984,1,295.00000,296.29430,1.29430,295.00000,-0.03957191,0,-0.03957191,0,0.000,waiting
2026-06-17T14:19:42,241.515,1,295.00000,296.29480,1.29480,295.00000,-0.03957192,0,-0.03957192,0,0.000,waiting
2026-06-17T14:19:44,244.046,1,295.00000,296.29560,1.29560,295.00000,-0.03957203,0,-0.03957203,0,0.000,waiting
2026-06-17T14:19:47,246.578,1,295.00000,296.29610,1.29610,295.00000,-0.03957162,0,-0.03957162,0,0.000,waiting
2026-06-17T14:19:49,249.109,1,295.00000,296.29610,1.29610,295.00000,-0.03957247,0,-0.03957247,0,0.000,waiting
2026-06-17T14:19:52,251.640,1,295.00000,296.29650,1.29650,295.00000,-0.0395721,0,-0.0395721,0,0.000,waiting
2026-06-17T14:19:54,254.156,1,295.00000,296.29650,1.29650,295.00000,-0.03957211,0,-0.03957211,0,0.000,waiting
2026-06-17T14:19:57,256.687,1,295.00000,296.29740,1.29740,295.00000,-0.03957253,0,-0.03957253,0,0.000,waiting
2026-06-17T14:20:00,259.218,1,295.00000,296.29740,1.29740,295.00000,-0.0395722,0,-0.0395722,0,0.000,waiting
2026-06-17T14:20:02,261.750,1,295.00000,296.29920,1.29920,295.00000,-0.03957273,0,-0.03957273,0,0.000,waiting
2026-06-17T14:20:05,264.281,1,295.00000,296.29870,1.29870,295.00000,-0.03957286,0,-0.03957286,0,0.000,waiting
2026-06-17T14:20:07,266.812,1,295.00000,296.29790,1.29790,295.00000,-0.03957238,0,-0.03957238,0,0.000,waiting
2026-06-17T14:20:10,269.343,1,295.00000,296.29830,1.29830,295.00000,-0.03957288,0,-0.03957288,0,0.000,waiting
2026-06-17T14:20:12,271.875,1,295.00000,296.29920,1.29920,295.00000,-0.03957309,0,-0.03957309,0,0.000,waiting
2026-06-17T14:20:15,274.390,1,295.00000,296.29960,1.29960,295.00000,-0.03957291,0,-0.03957291,0,0.000,waiting
2026-06-17T14:20:17,276.921,1,295.00000,296.30010,1.30010,295.00000,-0.03957236,0,-0.03957236,0,0.000,waiting
2026-06-17T14:20:20,279.453,1,295.00000,296.30090,1.30090,295.00000,-0.03957243,0,-0.03957243,0,0.000,waiting
2026-06-17T14:20:22,281.984,1,295.00000,296.30050,1.30050,295.00000,-0.03957277,0,-0.03957277,0,0.000,waiting
2026-06-17T14:20:25,284.500,1,295.00000,296.30090,1.30090,295.00000,-0.03957248,0,-0.03957248,0,0.000,waiting
2026-06-17T14:20:35,287.031,1,295.00000,296.30230,1.30230,295.00000,-0.03957318,0,-0.03957318,0,0.000,waiting
2026-06-17T14:20:37,297.078,1,295.00000,296.30180,1.30180,295.00000,-0.0395732,0,-0.0395732,0,0.000,waiting
2026-06-17T14:20:40,299.609,1,295.00000,296.30180,1.30180,295.00000,-0.03957345,0,-0.03957345,0,0.000,waiting
2026-06-17T14:20:42,302.140,1,295.00000,296.30230,1.30230,295.00000,-0.0395734,0,-0.0395734,0,0.000,waiting
2026-06-17T14:20:45,304.656,1,295.00000,296.30230,1.30230,295.00000,-0.0395732,0,-0.0395732,0,0.000,waiting
2026-06-17T14:20:47,307.187,1,295.00000,296.30320,1.30320,295.00000,-0.03957328,0,-0.03957328,0,0.000,waiting
2026-06-17T14:20:50,309.718,1,295.00000,296.30180,1.30180,295.00000,-0.03957336,0,-0.03957336,0,0.000,waiting
2026-06-17T14:20:53,312.234,1,295.00000,296.30320,1.30320,295.00000,-0.03957323,0,-0.03957323,0,0.000,waiting
2026-06-17T14:20:55,314.765,1,295.00000,296.30320,1.30320,295.00000,-0.03957334,0,-0.03957334,0,0.000,waiting
2026-06-17T14:20:58,317.281,1,295.00000,296.30270,1.30270,295.00000,-0.03957334,0,-0.03957334,0,0.000,waiting
2026-06-17T14:21:00,319.812,1,295.00000,296.30320,1.30320,295.00000,-0.03957327,0,-0.03957327,0,0.000,waiting
2026-06-17T14:21:03,322.343,1,295.00000,296.30270,1.30270,295.00000,-0.0395737,0,-0.0395737,0,0.000,waiting
2026-06-17T14:21:05,324.859,1,295.00000,296.30230,1.30230,295.00000,-0.03957295,0,-0.03957295,0,0.000,waiting
2026-06-17T14:21:08,327.390,1,295.00000,296.30180,1.30180,295.00000,-0.03957294,0,-0.03957294,0,0.000,waiting
2026-06-17T14:21:10,329.921,1,295.00000,296.30230,1.30230,295.00000,-0.03957303,0,-0.03957303,0,0.000,waiting
2026-06-17T14:21:13,332.437,1,295.00000,296.30400,1.30400,295.00000,-0.0395731,0,-0.0395731,0,0.000,waiting
2026-06-17T14:21:15,334.968,1,295.00000,296.30230,1.30230,295.00000,-0.03957333,0,-0.03957333,0,0.000,waiting
2026-06-17T14:21:22,337.500,1,295.00000,296.30320,1.30320,295.00000,-0.03957362,0,-0.03957362,0,0.000,waiting
2026-06-17T14:21:24,343.765,1,295.00000,296.30320,1.30320,295.00000,-0.0395737,0,-0.0395737,0,0.000,waiting
2026-06-17T14:21:27,346.296,1,295.00000,296.30320,1.30320,295.00000,-0.03957419,0,-0.03957419,0,0.000,waiting
2026-06-17T14:21:29,348.828,1,295.00000,296.30360,1.30360,295.00000,-0.03957398,0,-0.03957398,0,0.000,waiting
2026-06-17T14:21:32,351.343,1,295.00000,296.30320,1.30320,295.00000,-0.03957434,0,-0.03957434,0,0.000,waiting
2026-06-17T14:21:34,353.890,1,295.00000,296.30320,1.30320,295.00000,-0.03957418,0,-0.03957418,0,0.000,waiting
2026-06-17T14:21:37,356.406,1,295.00000,296.30360,1.30360,295.00000,-0.03957403,0,-0.03957403,0,0.000,waiting
2026-06-17T14:21:39,358.937,1,295.00000,296.30360,1.30360,295.00000,-0.03957436,0,-0.03957436,0,0.000,waiting
2026-06-17T14:21:42,361.453,1,295.00000,296.30320,1.30320,295.00000,-0.03957447,0,-0.03957447,0,0.000,waiting
2026-06-17T14:21:44,363.984,1,295.00000,296.30320,1.30320,295.00000,-0.03957394,0,-0.03957394,0,0.000,waiting
2026-06-17T14:21:47,366.515,1,295.00000,296.30270,1.30270,295.00000,-0.03957413,0,-0.03957413,0,0.000,waiting
2026-06-17T14:21:49,369.031,1,295.00000,296.30230,1.30230,295.00000,-0.03957409,0,-0.03957409,0,0.000,waiting
2026-06-17T14:21:52,371.562,1,295.00000,296.30270,1.30270,295.00000,-0.03957418,0,-0.03957418,0,0.000,waiting
2026-06-17T14:21:54,374.093,1,295.00000,296.30320,1.30320,295.00000,-0.03957395,0,-0.03957395,0,0.000,waiting
2026-06-17T14:21:57,376.609,1,295.00000,296.30360,1.30360,295.00000,-0.03957418,0,-0.03957418,0,0.000,waiting
2026-06-17T14:21:59,379.140,1,295.00000,296.30270,1.30270,295.00000,-0.03957447,0,-0.03957447,0,0.000,waiting
2026-06-17T14:22:02,381.671,1,295.00000,296.30180,1.30180,295.00000,-0.0395742,0,-0.0395742,0,0.000,waiting
2026-06-17T14:22:04,384.187,1,295.00000,296.30180,1.30180,295.00000,-0.03957417,0,-0.03957417,0,0.000,waiting
2026-06-17T14:22:07,386.718,1,295.00000,296.30140,1.30140,295.00000,-0.03957405,0,-0.03957405,0,0.000,waiting
2026-06-17T14:22:10,389.250,1,295.00000,296.30140,1.30140,295.00000,-0.03957423,0,-0.03957423,0,0.000,waiting
2026-06-17T14:22:12,391.765,1,295.00000,296.30230,1.30230,295.00000,-0.03957425,0,-0.03957425,0,0.000,waiting
2026-06-17T14:22:15,394.296,1,295.00000,296.30180,1.30180,295.00000,-0.03957433,0,-0.03957433,0,0.000,waiting
2026-06-17T14:22:17,396.828,1,295.00000,296.30140,1.30140,295.00000,-0.03957479,0,-0.03957479,0,0.000,waiting
2026-06-17T14:22:20,399.359,1,295.00000,296.30050,1.30050,295.00000,-0.03957474,0,-0.03957474,0,0.000,waiting
2026-06-17T14:22:22,401.875,1,295.00000,296.30010,1.30010,295.00000,-0.03957495,0,-0.03957495,0,0.000,waiting
2026-06-17T14:22:25,404.406,1,295.00000,296.30010,1.30010,295.00000,-0.03957506,0,-0.03957506,0,0.000,waiting
2026-06-17T14:22:27,406.937,1,295.00000,296.30050,1.30050,295.00000,-0.03957546,0,-0.03957546,0,0.000,waiting
2026-06-17T14:22:30,409.468,1,295.00000,296.30010,1.30010,295.00000,-0.03957513,0,-0.03957513,0,0.000,waiting
2026-06-17T14:22:32,412.000,1,295.00000,296.30050,1.30050,295.00000,-0.03957509,0,-0.03957509,0,0.000,waiting
2026-06-17T14:22:35,414.531,1,295.00000,296.29920,1.29920,295.00000,-0.03957498,0,-0.03957498,0,0.000,waiting
2026-06-17T14:22:37,417.062,1,295.00000,296.29920,1.29920,295.00000,-0.0395748,0,-0.0395748,0,0.000,waiting
2026-06-17T14:22:40,419.578,1,295.00000,296.29920,1.29920,295.00000,-0.03957491,0,-0.03957491,0,0.000,waiting
2026-06-17T14:22:42,422.109,1,295.00000,296.29920,1.29920,295.00000,-0.03957549,0,-0.03957549,0,0.000,waiting
2026-06-17T14:22:45,424.640,1,295.00000,296.30010,1.30010,295.00000,-0.03957496,0,-0.03957496,0,0.000,waiting
2026-06-17T14:22:47,427.171,1,295.00000,296.29870,1.29870,295.00000,-0.03957548,0,-0.03957548,0,0.000,waiting
